Фраза на французском,Перевод на русский
"Bonjour, comment ça va ?","Здравствуйте, как дела?"
"Ça va bien, merci. Et toi ?","Хорошо, спасибо. А у тебя?"
Je m'appelle [Ваше имя].,Меня зовут [Ваше имя].
Enchanté(e) de faire votre connaissance.,Приятно познакомиться.
Où est la station de métro ?,Где находится станция метро?
Combien ça coûte ?,Сколько это стоит?
"Je voudrais un café, s'il vous plaît.","Я хотел(а) бы кофе, пожалуйста."
Pouvez-vous m'aider ?,Вы можете мне помочь?
"Excusez-moi, où sont les toilettes ?","Извините, где туалет?"
Je ne comprends pas.,Я не понимаю.
"Pouvez-vous répéter, s'il vous plaît ?","Можете повторить, пожалуйста?"
Parlez-vous anglais ?,Вы говорите по-английски?
Je suis désolé(e).,Извините.
Merci beaucoup !,Большое спасибо!
De rien.,Пожалуйста (в ответ на спасибо).
À bientôt !,До скорого!
Bonne journée !,Хорошего дня!
Au revoir !,До свидания!
Je t'aime.,Я тебя люблю.
Quel est le проблема ?,В чём проблема?
